,year_month,passengers,lag_1,lag_3,lag_6,lag_12,roll_mean_3,roll_mean_6,roll_mean_12,roll_std_6,exp_mean,exp_std,exp_min,exp_max
167,2013-12-01,8395496,8003292.0,7687740.0,7392401.0,7972180.0,7946346.666666667,7891761.666666667,7666032.583333333,361283.91801393614,4431815.820359281,1923589.4698007086,2109035.0,8779953.0
168,2014-01-01,8704126,8395496.0,8148008.0,8396631.0,8221355.0,8182265.333333333,8058944.166666667,7701308.916666667,312831.46274152346,4455409.154761905,1942049.4368865679,2109035.0,8779953.0
169,2014-02-01,7442371,8704126.0,8003292.0,7722498.0,6584017.0,8367638.0,8110193.333333333,7741539.833333333,393899.9767853527,4480549.49112426,1963649.777257327,2109035.0,8779953.0
170,2014-03-01,7771916,7442371.0,8395496.0,7687740.0,7028475.0,8180664.333333333,8063505.5,7813069.333333333,460083.99956522573,4497971.970588235,1970965.9116314754,2109035.0,8779953.0
171,2014-04-01,7849561,7771916.0,8704126.0,8148008.0,7290295.0,7972804.333333333,8077534.833333333,7875022.75,447443.9016540524,4517117.842105263,1981044.6539930073,2109035.0,8779953.0
172,2014-05-01,7911486,7849561.0,7442371.0,8003292.0,7545499.0,7687949.333333333,8027793.666666667,7921628.25,454574.68586218165,4536492.511627907,1991520.120873228,2109035.0,8779953.0
173,2014-06-01,6752206,7911486.0,7771916.0,8395496.0,7392401.0,7844321.0,8012492.666666667,7952127.166666667,457102.42685496766,4556001.14450867,2002232.4728284087,2109035.0,8779953.0
174,2014-07-01,8463870,6752206.0,7849561.0,8704126.0,8396631.0,7504417.666666667,7738611.0,7898777.583333333,638165.6631314735,4568623.011494253,2003367.6764005884,2109035.0,8779953.0
175,2014-08-01,8257572,8463870.0,7911486.0,7442371.0,7722498.0,7709187.333333333,7698568.333333333,7904380.833333333,569286.9186857359,4590881.565714286,2019187.614949583,2109035.0,8779953.0
176,2014-09-01,8019280,8257572.0,6752206.0,7771916.0,7687740.0,7824549.333333333,7834435.166666667,7948970.333333333,592710.2540488058,4611715.034090909,2032291.9777592693,2109035.0,8779953.0
177,2014-10-01,8567662,8019280.0,8463870.0,7849561.0,8148008.0,8246907.333333333,7875662.5,7976598.666666667,596085.2345763426,4630966.813559322,2042631.9457895528,2109035.0,8779953.0
178,2014-11-01,8357197,8567662.0,8257572.0,7911486.0,8003292.0,8281504.666666667,7995346.0,8011569.833333333,658608.413712453,4653083.078651685,2058115.0813710827,2109035.0,8779953.0
179,2014-12-01,8906380,8357197.0,8019280.0,6752206.0,8395496.0,8314713.0,8069631.166666667,8041061.916666667,672252.8012206424,4673776.452513967,2070915.6094407325,2109035.0,8779953.0
180,2015-01-01,9239910,8906380.0,8567662.0,8463870.0,8704126.0,8610413.0,8428660.166666666,8083635.583333333,300249.14554982673,4697290.916666667,2089081.0648798845,2109035.0,8906380.0
181,2015-02-01,7438471,9239910.0,8357197.0,8257572.0,7442371.0,8834495.666666666,8558000.166666666,8128284.25,448834.3331647003,4722388.259668509,2110455.277351975,2109035.0,9239910.0
