,year_month,passengers,lag_1,lag_3,lag_6,lag_12,roll_mean_3,roll_mean_6,roll_mean_12,roll_std_6,exp_mean,exp_std,exp_min,exp_max
184,2015-05-01,569747,550584.0,562054.0,522154.0,490446.0,557946.6666666666,570067.5,553114.25,44956.73862615036,452856.5326086957,74007.22370582305,253080.0,695109.0
185,2015-06-01,551406,569747.0,561202.0,568984.0,485259.0,560511.0,577999.6666666666,559722.6666666666,38554.96172824795,453488.372972973,74304.49916337445,253080.0,695109.0
186,2015-07-01,662158,551406.0,550584.0,655427.0,564753.0,557245.6666666666,575070.0,565234.9166666666,40017.16769087986,454014.811827957,74450.40052851487,253080.0,695109.0
187,2015-08-01,845,662158.0,569747.0,562054.0,569541.0,594437.0,576191.8333333334,573352.0,42723.27184295071,455127.8770053476,75794.05477635945,253080.0,695109.0
188,2015-09-01,618172,845.0,551406.0,561202.0,549275.0,404803.0,482657.0,525960.6666666666,239774.01852577785,452711.47872340423,82533.30585245795,845.0,695109.0
189,2015-10-01,606665,618172.0,662158.0,550584.0,557692.0,427058.3333333333,492152.0,531702.0833333334,244586.16798584515,453586.9312169312,83188.7414637324,845.0,695109.0
190,2015-11-01,566623,606665.0,845.0,569747.0,522154.0,408560.6666666667,501498.8333333333,535783.1666666666,248308.9674719113,454392.6052631579,83708.31521734202,845.0,695109.0
191,2015-12-01,610488,566623.0,618172.0,551406.0,568984.0,597153.3333333334,500978.1666666667,539488.9166666666,248140.4581694946,454980.1989528796,83881.7532549757,845.0,695109.0
192,2016-01-01,675831,610488.0,606665.0,662158.0,655427.0,594592.0,510825.1666666667,542947.5833333334,251688.73302984124,455790.1354166667,84411.26402101523,845.0,695109.0
193,2016-02-01,543,675831.0,566623.0,845.0,562054.0,617647.3333333334,513104.0,544647.9166666666,253389.1204341655,456930.24352331605,85668.08699968252,845.0,695109.0
194,2016-03-01,546859,543.0,610488.0,618172.0,561202.0,428954.0,513053.6666666667,497855.3333333333,253511.22744814816,454577.73195876286,91513.12136666384,543.0,695109.0
195,2016-04-01,509629,546859.0,675831.0,606665.0,550584.0,407744.3333333333,501168.1666666667,496660.0833333333,249232.8461936081,455050.9692307692,91515.86754066583,543.0,695109.0
196,2016-05-01,557562,509629.0,543.0,566623.0,569747.0,352343.6666666667,484995.5,493247.1666666667,244113.79767784543,455329.4285714286,91364.11914110903,543.0,695109.0
197,2016-06-01,535542,557562.0,546859.0,610488.0,551406.0,538016.6666666666,483485.3333333333,492231.75,243535.1702031284,455848.37563451775,91421.3693402809,543.0,695109.0
198,2016-07-01,638862,535542.0,509629.0,675831.0,662158.0,534244.3333333334,470994.3333333333,490909.75,237567.23862828122,456250.8686868687,91364.74802964619,543.0,695109.0
199,2016-08-01,599946,638862.0,557562.0,543.0,845.0,577322.0,464832.8333333333,488968.4166666667,231596.49105927043,457168.51256281405,92048.51976626343,543.0,695109.0
200,2016-09-01,596085,599946.0,535542.0,546859.0,618172.0,591450.0,564733.3333333334,538893.5,46892.499236729105,457882.4,92370.33889788728,543.0,695109.0
201,2016-10-01,633599,596085.0,638862.0,509629.0,606665.0,611631.0,572937.6666666666,537052.9166666666,47442.81003762987,458569.9751243781,92653.34737857222,543.0,695109.0
202,2016-11-01,609171,633599.0,599946.0,557562.0,566623.0,609876.6666666666,593599.3333333334,539297.4166666666,40901.06206770941,459436.45544554456,93239.43543677028,543.0,695109.0
203,2016-12-01,645392,609171.0,596085.0,535542.0,610488.0,612951.6666666666,602200.8333333334,542843.0833333334,37052.27924658094,460174.06403940887,93600.21485917644,543.0,695109.0
204,2017-01-01,691354,645392.0,633599.0,638862.0,675831.0,629387.3333333334,620509.1666666666,545751.75,21331.963748483176,461081.9950980392,94265.62311785777,543.0,695109.0
205,2017-02-01,614895,691354.0,609171.0,599946.0,543.0,648639.0,629257.8333333334,547045.3333333334,36050.498733950895,462205.2731707317,95399.72921542276,543.0,695109.0
206,2017-03-01,626381,614895.0,645392.0,596085.0,546859.0,650547.0,631749.3333333334,598241.3333333334,34082.41267672512,462946.4854368932,95759.53311502255,543.0,695109.0
207,2017-04-01,597247,626381.0,691354.0,633599.0,509629.0,644210.0,636798.6666666666,604868.1666666666,29705.06353244494,463736.0241545894,96199.85467327695,543.0,695109.0
208,2017-05-01,605353,597247.0,614895.0,609171.0,557562.0,612841.0,630740.0,612169.6666666666,33899.27968556157,464377.9038461539,96412.66886990903,543.0,695109.0
209,2017-06-01,586257,605353.0,626381.0,645392.0,535542.0,609660.3333333334,630103.6666666666,616152.25,34417.01411608209,465052.42583732057,96673.69903460884,543.0,695109.0
210,2017-07-01,700345,586257.0,597247.0,691354.0,638862.0,596285.6666666666,620247.8333333334,620378.5,37493.00372291607,465629.5904761905,96804.14409183635,543.0,695109.0
211,2017-08-01,703794,700345.0,605353.0,614895.0,599946.0,630651.6666666666,621746.3333333334,625502.0833333334,40925.84219617964,466741.9857819905,97915.8548044711,543.0,700345.0
212,2017-09-01,691783,703794.0,586257.0,626381.0,596085.0,663465.3333333334,636562.8333333334,634156.0833333334,52425.813490747016,467860.15566037735,99031.00820488084,543.0,703794.0
213,2017-10-01,694914,691783.0,700345.0,597247.0,633599.0,698640.6666666666,647463.1666666666,642130.9166666666,56524.37187060629,468911.4366197183,99981.42983367841,543.0,703794.0
214,2017-11-01,670681,694914.0,703794.0,605353.0,609171.0,696830.3333333334,663741.0,647240.5,53132.16373911298,469967.523364486,100935.78999247763,543.0,703794.0
215,2017-12-01,731450,670681.0,691783.0,586257.0,645392.0,685792.6666666666,674629.0,652366.3333333334,44817.06797638491,470901.07441860466,101625.79566712253,543.0,703794.0
216,2018-01-01,773472,731450.0,694914.0,700345.0,691354.0,699015.0,698827.8333333334,659537.8333333334,19740.123397956766,472107.31944444444,102927.4108314669,543.0,731450.0
217,2018-02-01,692265,773472.0,670681.0,703794.0,614895.0,725201.0,711015.6666666666,666381.0,36404.81422376108,473496.0967741936,104706.89471202913,543.0,773472.0
218,2018-03-01,757424,692265.0,731450.0,691783.0,626381.0,732395.6666666666,709094.1666666666,672828.5,37158.67207216315,474499.623853211,105510.90522516567,543.0,773472.0
219,2018-04-01,710594,757424.0,773472.0,694914.0,597247.0,741053.6666666666,720034.3333333334,683748.75,40550.72716816006,475791.51598173514,106990.61710113684,543.0,773472.0
220,2018-05-01,652183,710594.0,692265.0,670681.0,605353.0,720094.3333333334,722647.6666666666,693194.3333333334,39086.875161191296,476858.8,107913.50108205318,543.0,773472.0
221,2018-06-01,653577,652183.0,757424.0,731450.0,586257.0,706733.6666666666,719564.6666666666,697096.8333333334,44377.07633301854,477652.1221719457,108311.9522550846,543.0,773472.0
222,2018-07-01,914,653577.0,710594.0,773472.0,700345.0,672118.0,706585.8333333334,702706.8333333334,51086.269847842246,478444.57657657657,108709.74119294086,543.0,773472.0
223,2018-08-01,795603,914.0,652183.0,692265.0,703794.0,435558.0,577826.1666666666,644420.9166666666,285332.68349168584,476303.18385650223,113080.30315632116,543.0,773472.0
224,2018-09-01,756020,795603.0,653577.0,757424.0,691783.0,483364.6666666667,595049.1666666666,652071.6666666666,296521.30228057236,477728.62946428574,114825.772282802,543.0,795603.0
225,2018-10-01,762477,756020.0,914.0,710594.0,694914.0,517512.3333333333,594815.1666666666,657424.75,296368.05080130784,478965.48,116061.6275584595,543.0,795603.0
226,2018-11-01,745574,762477.0,795603.0,652183.0,670681.0,771366.6666666666,603462.3333333334,663055.0,301140.23937007587,480219.9557522124,117328.98922536967,543.0,795603.0
227,2018-12-01,868348,745574.0,756020.0,653577.0,731450.0,754690.3333333334,619027.5,669296.0833333334,306527.5174601783,481388.91629955947,118386.52039492765,543.0,795603.0
228,2019-01-01,939126,868348.0,762477.0,914.0,773472.0,792133.0,654822.6666666666,680704.25,323442.38276123704,483086.1052631579,120873.36012230976,543.0,868348.0
229,2019-02-01,801160,939126.0,745574.0,795603.0,692265.0,851016.0,811191.3333333334,694508.75,76941.21956835964,485077.5458515284,124315.98842040375,543.0,939126.0
230,2019-03-01,803600,801160.0,868348.0,756020.0,757424.0,869544.6666666666,812117.5,703583.3333333334,76749.255563164,486451.81739130436,125782.99309237534,543.0,939126.0
231,2019-04-01,713294,803600.0,939126.0,762477.0,710594.0,847962.0,820047.5,707431.3333333334,72111.788283885,487824.75324675324,127232.05938385274,543.0,939126.0
232,2019-05-01,689717,713294.0,801160.0,745574.0,652183.0,772684.6666666666,811850.3333333334,707656.3333333334,82072.32918753146,488796.6034482759,127816.43618541693,543.0,939126.0
233,2019-06-01,697399,689717.0,803600.0,868348.0,653577.0,735537.0,802540.8333333334,710784.1666666666,93470.13865490162,489658.92274678114,128218.09783657767,543.0,939126.0
234,2019-07-01,900483,697399.0,713294.0,939126.0,914.0,700136.6666666666,774049.3333333334,714436.0,95432.65960805323,490546.7008547009,128661.37834653525,543.0,939126.0
235,2019-08-01,799378,900483.0,689717.0,801160.0,795603.0,762533.0,767608.8333333334,789400.0833333334,82490.30069872797,492291.11063829786,131141.5443189351,543.0,939126.0
